id,name_ar,name_en,password,group
STD-001,نورهان أحمد,Nourhan Ahmed,STD-001,G1
STD-002,سارة محمود,Sara Mahmoud,STD-002,G1
STD-003,مريم حسن,Mariam Hassan,STD-003,G1
STD-004,هدى إبراهيم,Huda Ibrahim,STD-004,G1
STD-005,آية عبدالرحمن,Aya Abdelrahman,STD-005,G1
STD-006,رنا محمد,Rana Mohamed,STD-006,G1
STD-007,دينا سعيد,Dina Saeed,STD-007,G1
STD-008,نهى عادل,Noha Adel,STD-008,G1
STD-009,شيماء طارق,Shimaa Tarek,STD-009,G1
STD-010,إسراء حسين,Esraa Hussein,STD-010,G1
STD-011,ريهام مصطفى,Reham Mostafa,STD-011,G1
STD-012,منى جمال,Mona Gamal,STD-012,G1
STD-013,سلمى عمر,Salma Omar,STD-013,G1
STD-014,لمياء فتحي,Lamiaa Fathy,STD-014,G1
STD-015,أميرة ياسر,Amira Yasser,STD-015,G1
STD-016,حنان وليد,Hanan Waleed,STD-016,G1
STD-017,عبير خالد,Abeer Khaled,STD-017,G1
STD-018,رشا أشرف,Rasha Ashraf,STD-018,G1
STD-019,علا حمدي,Ola Hamdy,STD-019,G1
STD-020,نجلاء سامي,Naglaa Samy,STD-020,G1
STD-081,لجين صالح,Lujain Saleh,STD-081,G1
STD-082,غادة نبيل,Ghada Nabil,STD-082,G1
STD-083,رشا أنور,Rasha Anwar,STD-083,G1
STD-084,ميار حمدي,Mayar Hamdy,STD-084,G1
STD-021,فاطمة علي,Fatma Ali,STD-021,G2
STD-022,زينب عبدالله,Zeinab Abdallah,STD-022,G2
STD-023,هبة الله ماجد,Heba Maged,STD-023,G2
STD-024,ندى رمضان,Nada Ramadan,STD-024,G2
STD-025,روان كمال,Rawan Kamal,STD-025,G2
STD-026,جنى هشام,Ganna Hesham,STD-026,G2
STD-027,بسمة نبيل,Basma Nabil,STD-027,G2
STD-028,ملك أيمن,Malak Ayman,STD-028,G2
STD-029,تقى شريف,Toqa Sherif,STD-029,G2
STD-030,لجين سمير,Logain Samir,STD-030,G2
STD-031,ياسمين وائل,Yasmin Wael,STD-031,G2
STD-032,حبيبة عصام,Habiba Essam,STD-032,G2
STD-033,مها رضا,Maha Reda,STD-033,G2
STD-034,داليا منير,Dalia Mounir,STD-034,G2
STD-035,سمر حسام,Samar Hossam,STD-035,G2
STD-036,نور عماد,Nour Emad,STD-036,G2
STD-037,إيمان بدر,Eman Badr,STD-037,G2
STD-038,هند صلاح,Hend Salah,STD-038,G2
STD-039,ميرنا جابر,Mirna Gaber,STD-039,G2
STD-040,كريمة ناصر,Karima Nasser,STD-040,G2
STD-085,نيرة سامي,Nayera Samy,STD-085,G2
STD-086,إيمان زكي,Iman Zaki,STD-086,G2
STD-087,أسماء حافظ,Asmaa Hafez,STD-087,G2
STD-088,دعاء رمضان,Doaa Ramadan,STD-088,G2
STD-041,ياسمين خالد,Yasmin Khaled,STD-041,G3
STD-042,هاجر عبدالعزيز,Hagar Abdelaziz,STD-042,G3
STD-043,رحمة طه,Rahma Taha,STD-043,G3
STD-044,أمل فاروق,Amal Farouk,STD-044,G3
STD-045,سهام عبدالحميد,Seham Abdelhamid,STD-045,G3
STD-046,وفاء محسن,Wafaa Mohsen,STD-046,G3
STD-047,ثريا كرم,Soraya Karam,STD-047,G3
STD-048,نسمة أنور,Nesma Anwar,STD-048,G3
STD-049,جيهان فوزي,Gehan Fawzy,STD-049,G3
STD-050,عزة سيد,Azza Sayed,STD-050,G3
STD-051,سحر عبدالفتاح,Sahar Abdelfatah,STD-051,G3
STD-052,إنجي حازم,Engy Hazem,STD-052,G3
STD-053,مروة شوقي,Marwa Shawky,STD-053,G3
STD-054,غادة رفعت,Ghada Refaat,STD-054,G3
STD-055,صفاء عاطف,Safaa Atef,STD-055,G3
STD-056,هالة مجدي,Hala Magdy,STD-056,G3
STD-057,لبنى حمدان,Lobna Hamdan,STD-057,G3
STD-058,رانيا شعبان,Rania Shaaban,STD-058,G3
STD-059,سوزان هاني,Suzan Hany,STD-059,G3
STD-060,نيفين بهاء,Neveen Bahaa,STD-060,G3
STD-089,سلوى ممدوح,Salwa Mamdouh,STD-089,G3
STD-090,هند ماهر,Hend Maher,STD-090,G3
STD-091,رانيا فريد,Rania Farid,STD-091,G3
STD-092,عزة طلعت,Azza Talaat,STD-092,G3
STD-061,هاجر عبدالله,Hagar Abdallah,STD-061,G4
STD-062,جومانا عادل,Gomana Adel,STD-062,G4
STD-063,رقية حسني,Roqaya Hosny,STD-063,G4
STD-064,ضحى عبدالناصر,Doha Abdelnaser,STD-064,G4
STD-065,تسنيم فؤاد,Tasneem Fouad,STD-065,G4
STD-066,أروى مدحت,Arwa Medhat,STD-066,G4
STD-067,فرح زكريا,Farah Zakaria,STD-067,G4
STD-068,سندس خيري,Sondos Khairy,STD-068,G4
STD-069,ابتسام عوض,Ebtesam Awad,STD-069,G4
STD-070,آلاء ثروت,Alaa Tharwat,STD-070,G4
STD-071,كوثر جلال,Kawthar Galal,STD-071,G4
STD-072,خلود يحيى,Kholoud Yehia,STD-072,G4
STD-073,بثينة حمزة,Buthaina Hamza,STD-073,G4
STD-074,سمية رجب,Somaya Ragab,STD-074,G4
STD-075,وجدان صبحي,Wegdan Sobhy,STD-075,G4
STD-076,نرمين شاكر,Nermeen Shaker,STD-076,G4
STD-077,تغريد لطفي,Taghreed Lotfy,STD-077,G4
STD-078,ولاء حسان,Walaa Hassan,STD-078,G4
STD-079,أمنية رأفت,Omneya Raafat,STD-079,G4
STD-080,يمنى ممدوح,Yomna Mamdouh,STD-080,G4
STD-093,منار شوقي,Manar Shawky,STD-093,G4
STD-094,نادين عصام,Nadine Essam,STD-094,G4
STD-095,شهد كمال,Shahd Kamal,STD-095,G4
STD-096,فاطمة سعيد,Fatima Saeed,STD-096,G4
